"","name","type","tier_name","iclevel","region","state","count","female","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","public","barrons","ipeds_enrollment_2013","sticker_price_2013","graduation_rate_2013","average_faculty_salary_2013","instructional_expenditures_pc_2012","sat_avg_2013","scorecard_netprice_2013","admit_rate_2013","endowment_pc_2000","asian_or_pacific_share_fall_2000","black_share_fall_2000","hisp_share_fall_2000","alien_share_fall_2000","pct_arthuman_2000","pct_business_2000","pct_health_2000","pct_multidisci_2000","pct_publicsocial_2000","pct_stem_2000","pct_socialscience_2000","pct_tradepersonal_2000","access_rate","success_rate"
"1157","University Of Mobile","Private Non-Profit","Selective private","Four-year","South","AL",189.5,0.639407795,0.010242861,7.35868e-05,94348.61891,77600,0.586127862,0.08167902,0.161499484,0.207949981,0.313857036,0.235014479,0.098506688,0.049020357,0.00588669,0.00018123,0.522373662,34517.18887,31300,34800,0.142606131,0.150758158,0.170964481,0.254877442,0.29816187,0.125238049,0.054149892,0.022010102,0.00462763,0.080517363,0.072732705,0.460735192,0.260610928,0.125403812,0.109566865,0.276414188,0.216356511,0.279148756,0.11851368,0.096463788,0.174798279,0.319476831,0.277760136,0.131500967,0.195962909,0.131772412,0.17692718,0.359782424,0.135555075,0.191148248,0.181588809,0.256743914,0.260037528,0.1104815,0,4,1481,19475,0.492753623,5024,NA,935,14149,0.71250001,NA,0.003968254,0.1984127,0.009637188,0.014172335,8.5889578,22.08589,23.312883,4.2944784,0,5.8282208,35.889572,0,0.08167902,0.125403812
"1158","University Of Montana ","Public","Selective public","Four-year","West","MT",2043,0.526526402,0.01302889,1.32e-06,140607.9137,82400,0.622356679,0.084313112,0.143655162,0.20115543,0.251795708,0.319080588,0.186012294,0.105872997,0.024568003,0.002297222,0.566352128,40551.69245,34600,37700,0.096753533,0.107836988,0.178749787,0.225987947,0.252619469,0.23480581,0.109848312,0.053753836,0.008926952,0.171152233,0.211246257,0.26399112,0.199080567,0.154529822,0.135625424,0.203465329,0.24036391,0.244599214,0.175946124,0.094159741,0.200789912,0.249701121,0.248051915,0.20729731,0.095082073,0.166233165,0.222102473,0.268935195,0.247647094,0.097283626,0.155018313,0.197590621,0.260381585,0.289725855,1,4,12254,6329,0.489309713,9948,6941.0537,1085,11134,0.942299999,365.5271,0.010500656,0.004594037,0.012750797,0.026907932,16.684101,20.345188,5.5962343,5.7531381,3.2426777,16.945606,28.922594,2.5104601,0.084313112,0.154529822
"1159","University Of Montana Western ","Public","Selective public","Four-year","West","MT",197.3333333,0.53818831,0.018436742,0.001716249,69802.63083,59700,0.491902599,0.15402277,0.214055868,0.255701106,0.27155507,0.104665186,0.0396822,0.017345273,0.00330856,0,0.533674977,34735.70917,32200,35700,0.10148746,0.128541727,0.175499828,0.257198174,0.263170256,0.175590014,0.076594177,0.031438828,0.009120773,0.173092889,0.200688002,0.272225113,0.234292588,0.119701408,0.14645393,0.164359749,0.22642627,0.277162795,0.185597256,0.140785054,0.180198933,0.286933933,0.222199144,0.169882936,0.081895685,0.163232151,0.28673296,0.306015337,0.162123867,0.11746098,0.181565179,0.148744047,0.265981056,0.286248739,1,5,1455,4761,0.451282051,4790,5318.9326,NA,8530,NA,4.1293101,0.011206897,0.006896552,0.018965518,0.003448276,1.9417475,10.679611,0,33.009708,0,0,54.368931,0,0.15402277,0.119701408
"1160","University Of Montevallo","Public","Selective public","Four-year","South","AL",494,0.703581905,0.010199879,0,107280.9166,87700,0.644450816,0.071889657,0.107790978,0.191618317,0.314838312,0.313862737,0.150463846,0.065403574,0.011864443,4.83187e-05,0.543967329,37925.05137,34900,39000,0.127256925,0.137749747,0.155061022,0.212785895,0.324012853,0.170390483,0.071570348,0.0293659,0.006169073,0.106393804,0.17291072,0.242274054,0.336538999,0.141882423,0.123234264,0.155055774,0.233025976,0.325266548,0.163417438,0.147342061,0.147824689,0.216908549,0.324575801,0.1633489,0.136494222,0.15295544,0.20572181,0.342403706,0.162424823,0.145320033,0.157504411,0.203649662,0.301921496,0.191604399,1,4,2618,10660,0.449275362,7035,6645.0845,1075,12723,0.87289999,657.67151,0.005084083,0.13922566,0.0070395,0.020336332,16.29328,25.661915,9.5723019,4.6843176,4.8879838,5.2953157,33.604889,0,0.071889657,0.141882423
"1161","University Of Mount Olive","Private Non-Profit","Selective private","Four-year","South","NC",154.6666667,0.503262016,0.012975933,1.55024e-05,67607.93839,57100,0.485749275,0.176579216,0.228313522,0.222647759,0.246455141,0.126004362,0.050068412,0.02209244,0.002281576,0,0.570979043,39488.66449,38100,40400,0.104140797,0.122596502,0.118236651,0.215148326,0.351901401,0.19211712,0.06091607,0.02791085,0.00259353,0.183070611,0.145558909,0.268518312,0.329367112,0.073485055,0.142121245,0.093537084,0.179055639,0.424009832,0.161276199,0.077380397,0.183286006,0.232382816,0.332843362,0.174107418,0.123304477,0.070102942,0.21839724,0.368440156,0.219755184,0.080983234,0.103907055,0.168947433,0.254150224,0.392012054,0,4,3414,17800,0.373056995,6231,2391.4722,912.5,11553,0.49790001,NA,0.004670169,0.24401635,0.015761821,0,4.3392506,70.019722,0,3.5502958,17.357002,1.1834319,3.5502958,0,0.176579216,0.073485055
"1162","University Of Mount Union","Private Non-Profit","Selective private","Four-year","Midwest","OH",508.6666667,0.563377008,0.011336588,0.001284437,98104.27157,83400,0.628205611,0.042984855,0.114870899,0.241735507,0.363147556,0.237261182,0.091265616,0.046641999,0.005580929,0.000185677,0.65640836,52766.88647,44100,45600,0.060549621,0.066799188,0.101447299,0.159120531,0.348220943,0.324412039,0.158842982,0.078584006,0.019196246,0.046331862,0.241141017,0.152831737,0.295960901,0.263734483,0.079511555,0.078375112,0.245042394,0.34785735,0.249213588,0.058572848,0.132294896,0.169363501,0.354516749,0.285252005,0.069421565,0.086688237,0.162136759,0.369759895,0.311993544,0.068720248,0.078469948,0.103607767,0.318483329,0.430718708,0,4,2096,27990,0.627318718,6839,NA,1010,22552,0.71200001,NA,0.003856041,0.038988862,0.006855184,0.020565553,7.7747989,22.788204,0,12.868632,0,17.69437,38.873993,0,0.042984855,0.263734483
"1163","University Of Nebraska System","Public","Selective public","Four-year","Midwest","NE",5828.666667,0.517133983,0.012720068,0.000408151,115012.8428,89400,0.658901615,0.044165566,0.107627265,0.205413337,0.31616649,0.326627341,0.152962202,0.073566741,0.0122106,0.001003606,0.655548685,52762.25348,45200,47400,0.069118948,0.07596776,0.100529741,0.165300422,0.301769291,0.356432787,0.179573118,0.090472245,0.017973633,0.102149371,0.133834685,0.190789883,0.285217344,0.288008717,0.083392668,0.13098601,0.169622311,0.292920346,0.323078665,0.077103619,0.099470729,0.180561679,0.330473855,0.312390118,0.070706357,0.095784267,0.168541151,0.312939318,0.352028908,0.074359538,0.09125017,0.147695083,0.27805886,0.408636349,1,3,37513,7393.4087,0.585014345,8866.502,12709.976,1121.2971,10589.998,0.69352379,6824.6523,0.019008823,0.030850995,0.020437011,0.028347135,8.4330893,26.47847,2.5906737,2.8944077,4.5917459,24.155798,30.194748,0.66106844,0.044165566,0.288008717
"1164","University Of Nevada , Reno","Public","Selective public","Four-year","West","NV",1480.666667,0.540508806,0.011658424,0.000676311,138819.4499,103500,0.703057845,0.040885715,0.089642026,0.161969026,0.260613622,0.446889611,0.236714703,0.117222179,0.020711909,0.001788242,0.643491589,53145.92244,45900,49100,0.089428424,0.097777382,0.113673388,0.152573953,0.2655803,0.370394976,0.191702771,0.099006186,0.019549326,0.12109999,0.139843711,0.178355465,0.275554192,0.285146641,0.098228687,0.132606188,0.177356098,0.216249622,0.375559406,0.107480971,0.110464775,0.167085205,0.274431408,0.340537641,0.091868546,0.129593046,0.141384192,0.276256529,0.360897687,0.095482017,0.099360344,0.146510294,0.265129039,0.393518306,1,5,15694,6707,0.513926325,9233,NA,1075,12465,0.8396,7139.3379,0.067100845,0.024274718,0.059107952,0.044010263,8.7943258,16.524822,8.1560287,6.312057,2.3404255,23.900709,33.97163,0,0.040885715,0.285146641
"1165","University Of Nevada - Las Vegas","Public","Selective public","Four-year","West","NV",2124,0.54298324,0.018881212,0.000472135,127956.0432,90400,0.651789271,0.06514293,0.126107456,0.186796564,0.25228137,0.369671681,0.195740103,0.095573972,0.016583877,0.002669796,0.606976247,47090.53639,41500,45900,0.114824599,0.126886125,0.125990493,0.161311018,0.26035927,0.325453095,0.160388126,0.076922859,0.011868725,0.181152793,0.123225982,0.178625761,0.227152612,0.289842851,0.10562957,0.141806481,0.174977556,0.298879063,0.278707329,0.132868301,0.124333034,0.172763184,0.283381609,0.286653872,0.11988533,0.127986296,0.163698975,0.262338659,0.326090739,0.126329524,0.120557774,0.146181247,0.240086386,0.366845069,1,4,23097,6590,0.429498738,9986,8009.1401,995,9197,0.8512,1805.9525,0.11969758,0.071564607,0.090956308,0.049518093,6.0479269,30.962343,5.743629,5.2491441,5.5534425,8.9767971,37.238495,0.22822367,0.06514293,0.289842851
"1166","University Of New England","Private Non-Profit","Selective private","Four-year","Northeast","ME",232,0.73429637,0.010725765,6.23885e-05,107871.9621,89600,0.662890243,0.052310487,0.102018913,0.184374144,0.321860958,0.339435499,0.144738751,0.051553447,0.00641676,0.000152486,0.657061253,52834.74091,48100,49700,0.063107759,0.064263376,0.100269162,0.188266569,0.270420357,0.376780536,0.166260928,0.082563864,0.013759529,0.098278683,0.079082631,0.367549184,0.250049058,0.205040444,0.075262016,0.101824984,0.171091598,0.294478731,0.357342671,0.041329368,0.059385101,0.201547315,0.255848417,0.4418898,0.058966278,0.121180171,0.181845422,0.272491335,0.365516794,0.073195677,0.105445641,0.164674169,0.272280342,0.38440417,0,4,2653,34080,0.585127202,7900,NA,1065,25336,0.8584,NA,0.006546645,0.006546645,0.003273323,0.000818331,0,4.8543692,74.757278,5.8252425,0,8.4142389,6.1488671,0,0.052310487,0.205040444
"1167","University Of New Hampshire","Public","Selective public","Four-year","Northeast","NH",2608,0.581276626,0.01196081,0.000625905,145116.1522,109900,0.729721707,0.035816401,0.074540883,0.139896342,0.259801978,0.489944396,0.284035774,0.138493282,0.019467864,0.001524129,0.67611429,55197.61696,49100,51600,0.066028881,0.073972288,0.09783954,0.14585131,0.270079626,0.412257236,0.216034947,0.103333748,0.017190707,0.09115446,0.160673056,0.155695514,0.258529132,0.333947838,0.097552718,0.12299828,0.18046685,0.243657557,0.355324595,0.072657382,0.112611253,0.164291472,0.297249352,0.353190541,0.071126535,0.091628195,0.142950845,0.295242188,0.399052237,0.071013122,0.088494369,0.136137919,0.253843075,0.450511514,1,3,13349,16378.273,0.701963241,10966.711,18504.611,1094.3838,16374.873,0.77541719,6326.0869,0.015379444,0.009076393,0.009412556,0.007815783,12.942061,17.419111,10.42137,4.3641834,1.1662904,25.395035,28.291948,0,0.035816401,0.333947838
"1168","University Of New Haven","Private Non-Profit","Selective private","Four-year","Northeast","CT",348.6666667,0.402767499,0.018366632,5.18873e-05,110786.7626,84900,0.626822089,0.076825421,0.130656866,0.204146461,0.262141311,0.326229941,0.142850223,0.05121365,0.011442376,0.001941456,0.664471558,53240.74665,49800,53800,0.083020834,0.092180959,0.111274844,0.13616532,0.225335587,0.43504329,0.227726604,0.094450656,0.009826514,0.18763821,0.142272107,0.167459056,0.263560907,0.23906972,0.081718389,0.108305893,0.107884078,0.26434349,0.437748149,0.088611849,0.111189793,0.162457212,0.23045699,0.407284156,0.083949183,0.089396233,0.133333242,0.238202808,0.455118534,0.082739683,0.122797962,0.125945511,0.18716658,0.481350264,0,4,4864,34630,0.553064275,9407,9163.0547,1055,25179,0.7441,NA,0.013795822,0.11194324,0.060701616,0.058336619,4.4198895,20.257828,7.3664827,1.2891345,40.699818,20.441988,4.2357273,1.2891344,0.076825421,0.23906972
"1169","University Of New Mexico","Public","Selective public","Four-year","West","NM",3079.833333,0.567289602,0.020363491,0.000370166,90916.43421,73900,0.566078828,0.135516738,0.163506279,0.196572015,0.248315419,0.256089548,0.116101919,0.049092154,0.005641098,0.00035556,0.563946671,42844.31338,34900,40200,0.127627567,0.142652257,0.163554775,0.196751779,0.227905038,0.269136151,0.129437587,0.062565172,0.010558767,0.177537013,0.251751143,0.237957508,0.182488829,0.150265507,0.170276259,0.178774799,0.234108706,0.21850032,0.198339916,0.142347431,0.158589402,0.205727726,0.242258303,0.251077138,0.120919786,0.135885702,0.183374988,0.256161226,0.303658298,0.127861576,0.137806194,0.157176111,0.219527069,0.35762905,1,4,29882,5557.9634,0.461553986,8120.8862,NA,1102.5,6829.3979,0.64579999,13821.437,0.029194962,0.022763712,0.32579714,0.009198085,11.075441,14.028893,13.99679,9.7913322,5.2648478,16.789726,27.608347,1.4446228,0.135516738,0.150265507
"1170","University Of New Orleans ","Public","Selective public","Four-year","South","LA",1976.666667,0.559269318,0.030657341,0.000663671,86549.74264,66400,0.528922263,0.165529187,0.190195478,0.194192452,0.230091975,0.219990908,0.090717788,0.040072687,0.004645116,0.000481295,0.570391527,41012.22641,36500,40100,0.116113792,0.127168147,0.149377264,0.209567792,0.270047515,0.243839282,0.110966408,0.05197365,0.007301343,0.130720728,0.168190455,0.251849093,0.264031656,0.185208068,0.125250492,0.182497512,0.247455169,0.260458227,0.1843386,0.118926872,0.148677276,0.213235299,0.281354015,0.237806537,0.110754247,0.135485102,0.185061059,0.282517373,0.286182219,0.150595358,0.121735004,0.167392427,0.259841585,0.300435627,1,4,7144,7392,0.321359223,7448,7095.5225,1150,7222,0.5036,791.07916,0.054159869,0.22177814,0.05995106,0.026264274,6.9247952,31.198809,0.59568131,12.211467,0,16.827997,32.241249,0,0.165529187,0.185208068
"1171","University Of North Alabama","Public","Selective public","Four-year","South","AL",806,0.576697933,0.014887502,0.000427063,92267.50886,80300,0.59868537,0.087119638,0.150523174,0.198320875,0.296403299,0.267633013,0.107585915,0.040867946,0.004865834,7.43626e-05,0.569001474,38778.51946,36000,39200,0.103893138,0.11505785,0.161265579,0.211280287,0.298352812,0.214043473,0.09098339,0.041117992,0.003949013,0.131914078,0.236050762,0.211974513,0.249174924,0.170885724,0.131550614,0.16543476,0.248532288,0.30807559,0.146406749,0.120517745,0.170594026,0.231813071,0.293060425,0.184014733,0.101824855,0.135723423,0.200651746,0.317512644,0.244287332,0.110904553,0.155952098,0.186658828,0.291595087,0.254889435,1,4,5881,7412,0.321603128,7152,5845.6812,989.5,11270,0.8092,661.93555,0.00566343,0.10032362,0.006472492,0.02791262,11.970075,28.553616,12.967581,3.8653367,6.7331672,8.1047382,27.805487,0,0.087119638,0.170885724
"1172","University Of North Carolina  Asheville","Public","Selective public","Four-year","South","NC",499.3333333,0.564535083,0.007022139,4.3808e-05,125395.0307,90600,0.649700813,0.056571832,0.141239469,0.175106783,0.25199813,0.375083786,0.194169285,0.098242883,0.020387111,0.001255112,0.571390849,40713.99568,36500,39600,0.125325002,0.131576291,0.145259506,0.207172591,0.286665215,0.229326397,0.113409964,0.051562154,0.006521246,0.208089967,0.236366038,0.236865046,0.194551116,0.124127832,0.155317316,0.167485321,0.234707647,0.26204992,0.180439795,0.140618405,0.182864899,0.201237535,0.287096625,0.188182536,0.103828476,0.132960693,0.234672486,0.302521238,0.226017108,0.125517307,0.113856104,0.176620892,0.298973089,0.285032608,1,3,3736,6392,0.595446585,7371,7081.1226,1195,7134,0.64030001,4463.125,0.011093991,0.036055472,0.012942989,0.013251156,18.562874,18.163673,0,0.59880239,0,24.9501,37.724552,0,0.056571832,0.124127832
