"","name","type","tier_name","iclevel","region","state","count","female","mr_kq5_pq1","mr_ktop1_pq1","par_mean","par_median","par_rank","par_q1","par_q2","par_q3","par_q4","par_q5","par_top10pc","par_top5pc","par_top1pc","par_toppt1pc","k_rank","k_mean","k_median","k_median_nozero","k_0inc","k_q1","k_q2","k_q3","k_q4","k_q5","k_top10pc","k_top5pc","k_top1pc","kq1_cond_parq1","kq2_cond_parq1","kq3_cond_parq1","kq4_cond_parq1","kq5_cond_parq1","kq1_cond_parq2","kq2_cond_parq2","kq3_cond_parq2","kq4_cond_parq2","kq5_cond_parq2","kq1_cond_parq3","kq2_cond_parq3","kq3_cond_parq3","kq4_cond_parq3","kq5_cond_parq3","kq1_cond_parq4","kq2_cond_parq4","kq3_cond_parq4","kq4_cond_parq4","kq5_cond_parq4","kq1_cond_parq5","kq2_cond_parq5","kq3_cond_parq5","kq4_cond_parq5","kq5_cond_parq5","public","barrons","ipeds_enrollment_2013","sticker_price_2013","graduation_rate_2013","average_faculty_salary_2013","instructional_expenditures_pc_2012","sat_avg_2013","scorecard_netprice_2013","admit_rate_2013","endowment_pc_2000","asian_or_pacific_share_fall_2000","black_share_fall_2000","hisp_share_fall_2000","alien_share_fall_2000","pct_arthuman_2000","pct_business_2000","pct_health_2000","pct_multidisci_2000","pct_publicsocial_2000","pct_stem_2000","pct_socialscience_2000","pct_tradepersonal_2000","access_rate","success_rate"
"1","Abilene Christian University","Private Non-Profit","Selective private","Four-year","South","TX",838.6666667,0.55212357,0.014363834,0.001996945,138760.9698,101000,0.683686359,0.052441352,0.101031977,0.163935739,0.258240046,0.424350886,0.235864907,0.126604725,0.0230491,0.000841904,0.592422012,50874.14613,40100,44400,0.121246202,0.140065296,0.132947591,0.173277369,0.246444071,0.307265673,0.171702009,0.100584479,0.028367675,0.094144827,0.108627178,0.255998166,0.267327011,0.273902819,0.186187623,0.129639054,0.203431209,0.23309061,0.247651504,0.143650521,0.158835985,0.208374547,0.287477197,0.20166175,0.138002099,0.139815036,0.174220124,0.23329166,0.31467108,0.134629595,0.122560388,0.141743014,0.2391946,0.361872404,0,3,3727,29450,0.56561086,5508,NA,1075,20836,0.48940003,NA,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,0.052441352,0.273902819
"2","Abraham Baldwin Agricultural College","Public","Nonselective four-year public","Four-year","South","GA",679.3333333,0.44437351,0.014857337,0.00099537,80366.66127,66000,0.525405982,0.154555182,0.187158613,0.225497056,0.236762581,0.196026568,0.072930537,0.03304462,0.002520282,0.000608527,0.535310711,35346.92997,32500,35400,0.113068782,0.121949777,0.179026922,0.255328872,0.27395723,0.1697372,0.06398078,0.028522131,0.006384978,0.176490734,0.239796031,0.301015292,0.186568282,0.096129661,0.114014611,0.228966502,0.286066844,0.228475947,0.142476096,0.119984916,0.134516864,0.272312019,0.311546099,0.161640103,0.092711515,0.166804541,0.233597754,0.305651807,0.201234383,0.124098177,0.149397704,0.196671093,0.30476101,0.225072016,1,999,3394,3394,NA,4752,2970.9001,925,7887,0.70899999,1594.2852,0.004942966,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131,0.154555182,0.096129661
"3","Academy Of Art University","Private For-profit","Four-year for-profit","Four-year","West","CA",495.6666667,0.416753161,0.016357388,0.001360899,166594.9696,92300,0.649209833,0.093524223,0.122917146,0.175349499,0.211525122,0.396684011,0.244049585,0.147395509,0.035681199,0.003368348,0.516059146,39988.01721,27400,36300,0.186392592,0.205866264,0.193782068,0.18086787,0.158146221,0.261337576,0.163044912,0.087273343,0.014030807,0.267030112,0.185425786,0.206293741,0.166350345,0.174900016,0.209054799,0.191571108,0.218931933,0.136387221,0.244054939,0.199759412,0.220832973,0.181343628,0.146925774,0.251138212,0.1993628,0.192634007,0.167183798,0.188904895,0.251914499,0.196625288,0.185091929,0.170165247,0.151512572,0.296604964,0,999,10508,19740,0.33,7062,NA,NA,28224,NA,NA,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0,0.093524223,0.174900016
"4","Adams State University","Public","Selective public","Four-year","West","CO",393.3333333,0.501918424,0.018844679,3.10155e-05,76121.81634,67200,0.540471235,0.129224392,0.185503884,0.24842875,0.260876334,0.175966639,0.064278462,0.024887405,0.003146715,0,0.552421082,38010.81341,34100,36600,0.112288285,0.121247677,0.159077859,0.243861894,0.272264816,0.203547754,0.07858049,0.030641154,0.005832592,0.169992999,0.201669608,0.218812449,0.263695825,0.14582912,0.128884526,0.183627879,0.235872225,0.289182793,0.162432578,0.105586373,0.147340742,0.264117229,0.280907041,0.202048616,0.117543997,0.159308249,0.227716318,0.291997758,0.203433678,0.105001251,0.118148038,0.266020101,0.219266919,0.291563692,1,4,2284,8014,0.261176471,5986,7574.2627,984,14705,0.52599999,1026.6212,0.0125,0.035096154,0.27548078,0.002403846,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,0.129224392,0.14582912
"5","Adelphi University","Private Non-Profit","Selective private","Four-year","Northeast","NY",509,0.720617197,0.03258507,0.002612555,130723.7409,96300,0.648892214,0.087048019,0.12853861,0.156433861,0.229864533,0.398114977,0.205369803,0.103923967,0.023863256,0.00193671,0.656451893,54029.66686,50700,55000,0.092774801,0.100515406,0.113007554,0.147644596,0.193154482,0.445677963,0.243636737,0.101785808,0.014892664,0.098475188,0.125163606,0.193849549,0.208177236,0.374334421,0.128190303,0.113945962,0.151231798,0.193888463,0.412743474,0.090565274,0.106612946,0.171123408,0.196650435,0.435047937,0.08777559,0.131607619,0.162515832,0.190016221,0.428084738,0.103291674,0.101819971,0.118571601,0.190071059,0.486245694,0,4,5040,32340,0.625141563,11315,15477.037,1115,20512,0.6814,NA,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,0.087048019,0.374334421
"6","Adrian College","Private Non-Profit","Selective private","Four-year","Midwest","MI",240.3333333,0.555802076,0.00956463,4.23077e-05,113708.1117,88500,0.643139329,0.060760294,0.115355947,0.200813262,0.281326941,0.341743556,0.149725906,0.072932913,0.011504383,0.001322675,0.607150203,43944.55249,40300,42700,0.082058196,0.085792046,0.128081856,0.210497398,0.303666648,0.271962052,0.113471565,0.038714341,0.003567733,0.150875579,0.164390579,0.212694692,0.314623361,0.157415789,0.083161868,0.147655779,0.20696786,0.33797786,0.224236633,0.073973458,0.115333705,0.249827504,0.344749901,0.216115431,0.090414379,0.138706265,0.230765411,0.265043372,0.275070572,0.078247952,0.113764009,0.17150237,0.29779081,0.338694861,0,4,1646,32660,0.544513458,7453,5788.0889,990,15774,0.56279999,NA,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0,0.060760294,0.157415789
"7","Adventist University Of Health Sciences","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","South","FL",120.5,0.796312259,0.037858434,7.63851e-05,73132.16039,62900,0.532083189,0.12763433,0.215705448,0.22543769,0.273734704,0.157487829,0.033090452,0.016315292,0.00058266,0.000185221,0.623029865,45837.11396,39200,45500,0.095972378,0.104377727,0.103974903,0.198639895,0.25457831,0.338429165,0.137119333,0.026672954,0.000768332,0.192066611,0.085266986,0.231232553,0.194817465,0.296616386,0.036636572,0.173748747,0.168420782,0.330014723,0.291179177,0.084459918,0.108239434,0.308568705,0.226339075,0.272392868,0.133067038,0.062275604,0.123682777,0.289111387,0.391863193,0.104739587,0.089944188,0.186542154,0.180088597,0.438685473,0,9,2160,12430,0.333333333,6539,5531.8286,925,18425,0.1336,NA,0.084337346,0.13769363,0.17728055,0,0,0,100,0,0,0,0,0,0.12763433,0.296616386
"8","Agnes Scott College","Private Non-Profit","Highly selective private","Four-year","South","GA",164,1,0.014744159,8.42821e-05,148536.1196,97200,0.646476325,0.072003043,0.129967505,0.15526836,0.226090993,0.416670098,0.232552375,0.117624132,0.012381608,0.002919478,0.583357578,45756.53571,38900,47300,0.124918123,0.13175504,0.156675606,0.193110395,0.234351018,0.284107941,0.164719723,0.073669725,0.015001115,0.280223464,0.074104221,0.27148008,0.169420902,0.204771333,0.110971271,0.168730758,0.182854681,0.305753401,0.231689889,0.15743416,0.183979092,0.254960711,0.240333262,0.163292775,0.151936445,0.131433969,0.192503433,0.190688847,0.333437307,0.092061881,0.170706255,0.160047993,0.244762004,0.332421867,0,2,915,35982,0.720183486,8379,12389.005,NA,16756,0.66870001,NA,0.049327355,0.19282511,0.036995515,0.053811658,31.884058,0,0,10.144928,0,15.94203,42.028984,0,0.072003043,0.204771333
"9","Alabama Agricultural & Mechanical University","Public","Selective public","Four-year","South","AL",943.6666667,0.513565519,0.042193098,0.000729114,57659.15269,44500,0.425329574,0.243561168,0.264324457,0.196087702,0.176287716,0.119738957,0.032962187,0.009083641,0.000179344,0.000126663,0.552324673,37065.25163,32900,36200,0.103117342,0.114682812,0.175865371,0.245037379,0.258063735,0.206350702,0.083374694,0.023782137,0.002565126,0.123992673,0.222599327,0.234280848,0.245893058,0.173234095,0.124357413,0.176153199,0.254601858,0.263938898,0.180948632,0.096729041,0.167666648,0.250300157,0.271200345,0.214103809,0.101206638,0.163064164,0.265658739,0.245998678,0.22407178,0.123630975,0.112441632,0.206824994,0.266100795,0.291001605,1,5,4051,9096,0.29138322,7079,NA,843.5,12683,0.8989,NA,0.002968037,0.90547943,0.002739726,0.038812786,1.2844037,20.917431,0,0,4.4036698,38.165138,35.229359,0,0.243561168,0.173234095
"10","Albany College Of Pharmacy And Health Sciences","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","Northeast","NY",129,0.603058748,0.033575329,0.000100101,90997.46899,95800,0.661741039,0.039403551,0.101879336,0.186487645,0.276678448,0.39555102,0.165157267,0.041671878,0.001978402,0.000272034,0.858151886,115474.4415,115800,128200,0.041380756,0.061036421,0.024199345,0.051073609,0.085526809,0.778163816,0.690743433,0.690743433,0.104751209,0.044741362,0,0.065878063,0.037291662,0.852088913,0.121278382,0,0.03132511,0.065597025,0.781799484,0.080410398,0.039945586,0.0751589,0.037168898,0.767316217,0.056634025,0.023798929,0.053064006,0.102330048,0.764172991,0.041088838,0.025699178,0.041937762,0.106510519,0.784763703,0,9,1078,30131,0.723484848,8530,NA,1165,25442,0.634,NA,0.092943199,0.029259896,0.018932875,0.020654045,0,0,100,0,0,0,0,0,0.039403551,0.852088913
"11","Albany State University","Public","Selective public","Four-year","South","GA",521,0.63520227,0.025794943,0,54718.25916,43800,0.420957634,0.233010812,0.281636744,0.215800021,0.175935817,0.093616605,0.025878895,0.007332874,0.000947231,5.53046e-05,0.54412281,34497.28754,31900,34200,0.085406972,0.093914058,0.183699896,0.289701541,0.288617584,0.144066922,0.048978282,0.017631337,0.002489291,0.098240127,0.186870227,0.305191671,0.298995202,0.110702773,0.120447268,0.183384866,0.25743342,0.285142185,0.153592261,0.067755656,0.19607348,0.297583405,0.281510523,0.157076936,0.075997532,0.164438459,0.314614762,0.290116997,0.154832251,0.097293739,0.184432236,0.283233524,0.286808147,0.148232355,1,4,3660,5192,0.424920128,5607,6240.8887,880,12026,0.19919997,24.122553,0.000639182,0.9533397,0.0035155,0.0035155,3.3132532,17.168674,22.289156,0,16.26506,6.3253012,34.638554,0,0.233010812,0.110702773
"12","Albertus Magnus College","Private Non-Profit","Selective private","Four-year","Northeast","CT",65.66666667,0.688934953,0.055204772,3.81609e-05,89400.36286,68600,0.545599104,0.129735245,0.163736763,0.242055874,0.239754849,0.224717269,0.100051233,0.049870253,0.003582891,0.000145413,0.609997054,46223.4916,43400,46600,0.100771287,0.107212371,0.115100167,0.175846895,0.290429388,0.31141118,0.117392893,0.045220874,0.007106876,0.122915598,0.043880638,0.154303996,0.253381074,0.425518694,0.144778988,0.149411869,0.125558367,0.381646527,0.198604248,0.096730403,0.19794606,0.236803571,0.227794298,0.240725668,0.079624057,0.120329192,0.163842585,0.33936949,0.296834676,0.111499338,0.036399392,0.172073815,0.260607191,0.419420264,0,5,1278,28930,0.606299213,7601,NA,NA,21573,0.6821,NA,0.009491904,0.18816304,0.074818537,0.004466778,2.3980815,72.422066,0,8.8729019,0.95923263,1.1990408,14.148682,0,0.129735245,0.425518694
"13","Albion College","Private Non-Profit","Selective private","Four-year","Midwest","MI",398,0.54996008,0.006813184,0.000116058,159765.4051,120700,0.738589378,0.022652305,0.069142471,0.134883848,0.238326289,0.534995087,0.339732233,0.178971891,0.029275217,0.001655841,0.675156045,59085.63821,48900,52700,0.074271538,0.080197062,0.083193084,0.161210663,0.286509477,0.388889714,0.224205902,0.110182167,0.030884888,0.144087629,0.05908859,0.290885617,0.205165924,0.30077224,0.109161794,0.083761156,0.152445089,0.324696225,0.329935735,0.110174204,0.108130685,0.166118476,0.250710517,0.364866118,0.086924579,0.0931957,0.17647238,0.318803597,0.324603742,0.063193657,0.073397066,0.148816873,0.279657931,0.434934473,0,3,1307,37300,0.736,6969,13575.27,1130,18614,0.56389999,NA,0.021639343,0.021639343,0.007213115,0.006557377,23.270439,0,0,0.3144654,0.3144654,24.213837,51.886791,0,0.022652305,0.30077224
"14","Albright College","Private Non-Profit","Selective private","Four-year","Northeast","PA",314,0.590724478,0.013705797,4.25398e-05,139372.1685,89000,0.646742554,0.051434021,0.126789504,0.203652215,0.294183473,0.323940788,0.142663225,0.055048573,0.013267925,0.001129514,0.666687027,53178.0486,47300,49400,0.081773985,0.083530883,0.084608303,0.153845531,0.300778123,0.37723716,0.191473863,0.096633476,0.017509379,0.066032878,0.144183079,0.199287957,0.324022705,0.266473381,0.116937447,0.1058415,0.184052618,0.282635996,0.310532439,0.115728504,0.12505534,0.151634938,0.303755503,0.303825715,0.056152215,0.06836683,0.141286432,0.311582961,0.422611562,0.077855853,0.056160287,0.147602547,0.292504125,0.425877188,0,4,2349,38220,0.537109375,6340,NA,NA,19711,0.62310001,NA,0.023726853,0.068865739,0.027777778,0.046875,8.152174,35.054348,0,6.25,0,14.945652,35.597824,0,0.051434021,0.266473381
"15","Alderson Broaddus University","Private Non-Profit","Selective private","Four-year","South","WV",126,0.633009767,0.027365764,0.000179451,68810.9659,59500,0.499516529,0.127495777,0.23491497,0.280035609,0.237653909,0.119899736,0.038474964,0.021652491,0.000308738,2.20348e-05,0.585105296,40454.07528,37800,41200,0.118932116,0.121455875,0.123094703,0.22246574,0.262190494,0.270793188,0.12479746,0.042427004,0.00365703,0.168188466,0.15789714,0.246889876,0.212383961,0.214640557,0.190277452,0.179991599,0.216314375,0.21587099,0.197545584,0.072584512,0.103049066,0.21759029,0.349514238,0.257261893,0.09922936,0.077806344,0.221885147,0.29101124,0.310067909,0.095121484,0.111196021,0.221084193,0.144826993,0.42777131,0,4,1052,22740,0.45751634,4924,6830.1367,960,13431,0.4321,NA,0.031746034,0.038961038,0.008658009,0.008658009,4.2553191,6.3829789,53.19149,2.8368795,0,24.822695,8.5106382,0,0.127495777,0.214640557
"16","Alfred University","Private Non-Profit","Selective private","Four-year","Northeast","NY",454.6666667,0.518915469,0.014770933,5.07025e-05,133071.2606,90800,0.650354717,0.065330884,0.120355439,0.191569515,0.265811812,0.35693235,0.17403902,0.089041349,0.018995715,0.003757956,0.644499821,51684.43148,44600,49100,0.083598659,0.09196551,0.110079469,0.17278264,0.255919984,0.369252397,0.213134462,0.101376124,0.015507132,0.211675073,0.110389216,0.196761222,0.255080309,0.22609418,0.078873957,0.16843163,0.206532084,0.258786721,0.287375608,0.071735527,0.090630204,0.195998471,0.271884134,0.369751664,0.086579472,0.091353676,0.156071092,0.259858647,0.406137114,0.089337643,0.114730736,0.156998725,0.243605722,0.395327174,0,3,1960,26106,0.621621622,6408,11722.426,1055,11715,0.69800001,NA,0.012490815,0.05143277,0.040411461,0.020573108,8.333333,29.513889,0.69444442,4.8611112,3.8194444,18.75,34.027779,0,0.065330884,0.22609418
"17","Allegheny College","Private Non-Profit","Selective private","Four-year","Northeast","PA",434.5,0.504950559,0.013434456,0.00222989,142412.0818,102800,0.708648729,0.037381236,0.078848675,0.16654981,0.288313027,0.428907252,0.252864261,0.136716009,0.026483722,0.001901667,0.690266591,59176.89848,52500,53700,0.067481975,0.08109819,0.08523697,0.124072148,0.257207398,0.452385294,0.267042863,0.137607038,0.020971577,0.165713375,0.035468232,0.218259811,0.221168231,0.359390351,0.123532526,0.088593284,0.139670296,0.292437376,0.355766518,0.07373061,0.070574231,0.131401814,0.287768355,0.43652499,0.077498269,0.096630744,0.135174077,0.281507798,0.409189112,0.071203422,0.086992312,0.102686802,0.225669828,0.513447636,0,3,2161,40660,0.791738382,8108,10460.335,1160,17619,0.6487,NA,0.013655462,0.023109244,0.011029412,0.014180672,14.975845,0,0,0.9661836,0,37.68116,46.376812,0,0.037381236,0.359390351
"18","Alma College","Private Non-Profit","Selective private","Four-year","Midwest","MI",266.5,0.576047436,0.011659105,8.16479e-05,120659.5265,98200,0.689799746,0.050117993,0.095352114,0.176405473,0.280188758,0.397935662,0.212857158,0.107359396,0.016617836,0.0001292,0.642098359,52926.63566,48000,49400,0.065958842,0.07772192,0.12998164,0.144775977,0.310187014,0.33733345,0.194911062,0.107704538,0.017990524,0.043015781,0.344356521,0.114031277,0.265963311,0.23263311,0.076850043,0.192872628,0.216229792,0.240624749,0.273422789,0.102237196,0.123329092,0.168839709,0.269122259,0.336471745,0.100480077,0.116001428,0.190041598,0.383183626,0.210293272,0.055410093,0.10070509,0.088987305,0.2992318,0.455665711,0,3,1419,34585,0.611764706,7256,NA,1023,14985,0.67910001,NA,0.012065294,0.015613911,0.017743081,0.013484741,16.245487,14.440434,9.386282,0,0,27.075813,32.851986,0,0.050117993,0.23263311
"19","Alvernia University","Private Non-Profit","Selective private","Four-year","Northeast","PA",210.3333333,0.625326824,0.021852217,0.001535565,94909.35131,84300,0.616992408,0.066485955,0.141291021,0.216164778,0.312341268,0.263716978,0.116755067,0.043267734,0.008258023,7.37533e-05,0.623121278,43508.2672,41800,45100,0.077592194,0.088082143,0.111840307,0.183931866,0.323340074,0.292805609,0.098679466,0.032304852,0.006407297,0.094778,0.076979628,0.188098784,0.311469411,0.328674178,0.112883336,0.135654028,0.187626343,0.326735748,0.237100544,0.094780367,0.133290403,0.208021911,0.31005961,0.253847709,0.083386357,0.08090666,0.196854143,0.304826003,0.334026836,0.073177534,0.126925342,0.145850824,0.357327006,0.296719293,0,4,2371,30080,0.513245033,6152,NA,970,22382,0.7762,NA,0.01674808,0.079553388,0.03349616,0.003489184,0,29.896908,30.584192,0.68728524,9.6219931,11.340206,17.869415,0,0.066485955,0.328674178
"20","Alverno College","Private Non-Profit","Selective private","Four-year","Midwest","WI",161,0.992663654,0.026607818,0.002127414,76471.00966,65600,0.519893954,0.150332791,0.197340805,0.220815372,0.274494769,0.157016263,0.068817816,0.024885834,0.005124783,6.24329e-05,0.557075924,36851.64361,33200,34900,0.079121111,0.085567387,0.189673619,0.2625198,0.275446761,0.186792433,0.062162965,0.018089383,0.003934006,0.106040392,0.209514537,0.31997015,0.187482145,0.176992776,0.070004097,0.21922551,0.261802126,0.315942162,0.133026104,0.090444505,0.160130244,0.272802027,0.269635938,0.206987286,0.090497498,0.199029332,0.226467561,0.265895121,0.218110488,0.070048462,0.158727796,0.256982997,0.333641786,0.180598959,0,5,1862,24434,0.385185185,5550,6740.1382,NA,13140,0.7887,NA,0.021017699,0.25829646,0.082411505,0.005530973,6.1068702,30.152672,16.412214,1.1450381,3.0534351,5.7251906,37.404579,0,0.150332791,0.176992776
"21","American Institute Of Business","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","Midwest","IA",257,0.702874219,0.014345624,6.48046e-05,77755.57664,66000,0.544485238,0.081016317,0.194152292,0.291711973,0.307127986,0.125991432,0.03304711,0.024251265,0.00312296,0.000158517,0.598474492,41033.30139,38700,40000,0.050891286,0.060357316,0.134773024,0.264023593,0.34348255,0.197363517,0.072371139,0.019579316,0.004757019,0.028522015,0.260263406,0.279791481,0.254352302,0.177070796,0.109609409,0.142905561,0.249866674,0.349795909,0.147822448,0.054011925,0.110466398,0.273495662,0.335891789,0.226134227,0.042286491,0.150084797,0.265253285,0.372870239,0.169505188,0.063673848,0.06049925,0.250771529,0.337004218,0.288051155,0,999,1019,15666,NA,4706,3376.3745,NA,10531,0.68869999,NA,0.017142856,0.014857143,0.010285715,0,0,83.59375,0,0,0,16.40625,0,0,0.081016317,0.177070796
"22","American Intercontinental University","Private For-profit","Four-year for-profit","Four-year","Midwest","IL",1596.166667,0.580073253,0.026364818,0.000717734,62196.19987,44700,0.415672904,0.260332929,0.258476842,0.222582995,0.160529758,0.098077476,0.04114276,0.01853579,0.004889943,0.000489295,0.464527831,28537.09611,22100,28700,0.173494021,0.188552258,0.251353449,0.236795625,0.190972915,0.132325753,0.053838957,0.025029452,0.002801711,0.186601783,0.282639726,0.26061437,0.168870655,0.101273467,0.192187988,0.257630189,0.25042229,0.190369141,0.109390393,0.18785646,0.241291346,0.225508831,0.209781227,0.135562136,0.188102411,0.227757942,0.22946159,0.211525443,0.143152614,0.186463172,0.213222311,0.175278933,0.174907096,0.250128487,0,5,11719,11728.398,0.186132682,5730.4404,1816.9987,NA,17288.162,NA,NA,0.038292844,0.36411294,0.13203038,0.017985897,0,76.08696,0,0,0,23.913044,0,0,0.260332929,0.101273467
"23","American International College","Private Non-Profit","Selective private","Four-year","Northeast","MA",172.3333333,0.502468497,0.026896371,0,79213.42305,68700,0.539727626,0.145544206,0.199519099,0.188940395,0.255978124,0.210018175,0.07703873,0.027052341,0.005896935,6.80832e-05,0.613489501,42553.7961,41900,44100,0.079756828,0.094457011,0.138697947,0.181842667,0.280273936,0.304728439,0.113308941,0.038248007,7.3012e-05,0.144310379,0.172929942,0.203278647,0.294682397,0.184798636,0.117063217,0.152676546,0.290556582,0.204884862,0.234818793,0.084446864,0.144219946,0.188845267,0.30623769,0.276250233,0.054208193,0.119124887,0.119474377,0.310955266,0.396237277,0.096494451,0.120583706,0.133425234,0.281155485,0.368341124,0,5,1513,30940,0.448717949,5700,NA,880,18044,0.67789999,NA,0.014519056,0.20871143,0.055353902,0.049909256,0.729927,24.087591,32.48175,8.3941603,9.4890509,5.4744525,19.343065,0,0.145544206,0.184798636
"24","American Musical & Dramatic Academy","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","Northeast","NY",270.5,0.654816551,0.00702624,8.06013e-05,115011.5706,88800,0.644483134,0.068494346,0.134637761,0.188438925,0.264313143,0.344115824,0.181522858,0.063715002,0.010904926,0.001281826,0.501449679,32574.36535,26000,28400,0.113091983,0.132140491,0.248305486,0.274592932,0.191587471,0.15337362,0.058772692,0.009286336,0.006080536,0.122451148,0.16650565,0.479455227,0.129006664,0.10258131,0.113932928,0.316766929,0.219837999,0.206538109,0.142924034,0.081173642,0.320091751,0.320065923,0.152784406,0.125884278,0.144184588,0.233570176,0.263876028,0.207481937,0.150887271,0.159851555,0.209808972,0.238569914,0.207234535,0.184535024,0,999,1365,32620,NA,7984,NA,NA,29726,0.26029998,NA,0.027303753,0.073378839,0.059726961,0.12286689,100,0,0,0,0,0,0,0,0.068494346,0.10258131
"25","American National University","Private For-profit","Four-year for-profit","Four-year","South","VA",377.6666667,0.809022416,0.009691825,0,43873.0047,38300,0.369709907,0.293059129,0.29596233,0.258528511,0.110772175,0.041677854,0.017481865,0.00067595,0.00067595,4.02132e-05,0.39498182,19313.49526,17800,21400,0.166498937,0.196516809,0.308526868,0.340732983,0.125002701,0.029220638,0.011914142,0.003790373,0,0.210185026,0.332519609,0.330219022,0.094005117,0.033071226,0.211578888,0.329334849,0.321306843,0.116433069,0.021346351,0.186083449,0.280637842,0.350460922,0.153998888,0.0288189,0.154143315,0.286293169,0.367543293,0.14104055,0.050979673,0.170789029,0.224149046,0.421011402,0.181328182,0.00272234,0,999,2443,11550,0.391513057,4533.2588,NA,NA,19723.502,NA,NA,0.012219959,0.23625255,0.005702648,0.008961303,0,48.913044,35.434784,0,0,15.652174,0,0,0.293059129,0.033071226
"26","American University ","Private Non-Profit","Highly selective private","Four-year","South","DC",1103,0.634695018,0.012844237,0.001853017,305748.2662,135700,0.775091677,0.035309112,0.066071379,0.108909362,0.176795622,0.612914526,0.437595011,0.295348185,0.087893452,0.014072705,0.701648736,67366.26089,59100,64100,0.100716188,0.109052541,0.088691442,0.079618198,0.18900142,0.533636399,0.346165803,0.184625743,0.037534749,0.223385935,0.128540992,0.106088604,0.178218947,0.363765522,0.124980398,0.106562505,0.05760712,0.167971772,0.542878205,0.122029135,0.077655017,0.096146695,0.180420118,0.523749035,0.107821696,0.078707758,0.070841512,0.189772124,0.552856909,0.098798174,0.089310164,0.080060719,0.19319206,0.538638884,0,2,7340,41833,0.799844237,11074,18741.883,1245,24281,0.43120003,NA,0.038940538,0.069286093,0.046833888,0.13576566,5.4894786,18.572735,0,5.3979874,6.9533396,6.1299176,57.456539,0,0.035309112,0.363765522
"27","Amherst College","Private Non-Profit","Other elite schools (public and private)","Four-year","Northeast","MA",389.6666667,0.485962141,0.019616832,0.0026927,440985.7169,181300,0.809826901,0.04221596,0.059988364,0.094621277,0.097151464,0.706022935,0.583605418,0.439204439,0.168124529,0.023892085,0.74838545,104541.7443,69300,72500,0.073686345,0.079923434,0.083400653,0.081692341,0.160856911,0.594126661,0.435421225,0.342237126,0.142665723,0.201099617,0.041382347,0.131950179,0.160889758,0.464678099,0.097316494,0.007827005,0.124372286,0.1516825,0.618801715,0.096364668,0.095342202,0.061295451,0.192479824,0.554517855,0.080132388,0.11241512,0.107003009,0.193984874,0.506464608,0.068967783,0.086741422,0.074311601,0.152837824,0.61714137,0,1,1785,48526,0.957805907,11690,NA,1449,1936,0.14279997,NA,0.11209439,0.07846608,0.068436578,0.041297935,30.985916,0,0,5.6338024,4.9295774,22.535212,35.915493,0,0.04221596,0.464678099
"28","Anderson University of Anderson, IN","Private Non-Profit","Selective private","Four-year","Midwest","IN",448.6666667,0.572957269,0.007135675,0,116464.4859,88400,0.664967786,0.052718633,0.098190271,0.211651136,0.302041779,0.335398181,0.154274331,0.076988912,0.015878982,0.000834479,0.558787182,40006.88166,34900,39600,0.120531474,0.136575396,0.16158783,0.198589815,0.279839915,0.223407044,0.102193334,0.046504444,0.005822205,0.217304958,0.225209053,0.201847198,0.220284851,0.13535394,0.13627829,0.187666675,0.21323217,0.247627571,0.215195294,0.114879589,0.163554854,0.241247512,0.282801183,0.197516861,0.123063598,0.152426942,0.22045923,0.284413826,0.219636405,0.149832147,0.150961462,0.147177823,0.292643598,0.259384969,0,4,2016,26850,0.567849687,6395,NA,1030,20389,0.55450001,NA,0.00430622,0.042583734,0.008133971,0.009090909,10,22.058823,6.4705882,2.647059,14.705882,7.352941,36.764706,0,0.052718633,0.13535394
"29","Anderson University of Anderson, SC","Private Non-Profit","Nonselective four-year private not-for-profit","Four-year","South","SC",216,0.620979563,0.011968425,0.001502922,89558.53371,75900,0.593350396,0.085361474,0.143843058,0.236545733,0.31470928,0.219540455,0.090228277,0.040539686,0.004523106,0,0.533858436,34404.90461,32600,35600,0.116514597,0.131789962,0.145935974,0.279283578,0.319983128,0.123007358,0.066421153,0.026519183,0.006461776,0.107206871,0.076950431,0.359944411,0.315689543,0.140208743,0.132351765,0.164500892,0.272844912,0.297443465,0.132858966,0.162993145,0.15732164,0.288537359,0.331635577,0.059512279,0.121170642,0.158102666,0.278603658,0.334729277,0.107393757,0.122582803,0.130886681,0.243143834,0.302727055,0.200659627,0,999,2652,23750,0.413793103,6409,3950.459,1010,15131,0.65020001,NA,0.009298999,0.12017167,0.006437768,0.007868383,21.153845,34.615383,1.2820513,12.179487,0,1.9230769,28.846153,0,0.085361474,0.140208743
